Patrick Rothfuss,The Name of the Wind
Brandon Sanderson,The Final Empire
Robert Jordan,The Eye of the World
Neil Gaiman,American Gods
George R.R. Martin,A Song of Ice and Fire
Neil Gaiman,Good Omens
Terry Pratchett,Good Omens
Terry Pratchett,The Color of Magic
